reference,LAPTOP_MODEL,description,PRICE,created_at,city,spec_Carte graphique,LAPTOP_CONDITION,LAPTOP_BRAND,CPU,RAM_SIZE,spec_Reférence carte graphique dédiée,spec_Reférence carte graphique integrée,STORAGE_SIZE,SCREEN_SIZE,STORAGE_TYPE,RAM_GB,SSD_GB,HDD_GB
LENOVO THINKPAD E14,"LENOVO THINKPAD E14 I5 11th 16 GB 256 GB SSD FHD 14""","Disponible chez TRETEC INFORMATIQUE Magasin de service , vente et dépannage de matériel informatique -BAB EZZOUAR-
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**
------------------------------------------
• FOURNIR AVEC CHARGEUR ORIGINAL
• LIVRAISON A DOMICILE
• GARANTIE 02 MOIS + SERVICE APRES VENTE
------------------------------------
• PRODUIT : ORDINATEUR PORTABLE
• MARQUE : LENOVO
• MODELE : THINKPAD E14
-------------------------------------
CARACTERISTIQUE :
• PROCESSEUR : Intel® Core™ i5-1135G7 ""11th Génération"" 12M Cache, up to 4.60 GHz
• MEMOIRE : 16 GB
• STOCKAGE : 256GB SSD
• ECRAN : 14"" FULL HD (1920 X 1080)
• CARTE GRAPHIQUE INTIGREE : Intel® Iris® Xe Graphique
• INTERFACES : 2 X USB 3.0 / 1 X USB TYPE C / 1 X HDMI
• WIFI + BLEUTHOOT + WEB CAM
• SYSTEM D’EXPLOITATION : WINDOWS ORIGINAL


PRIX : 74 000,00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
---------------------------------
•Contact : -
• Email :
• Page Facebook :
• SITE Web :",74000.0,2025-06-21T09:19:18.000Z,Bab ezzouar,Intégrée,Etat neuf,LENOVO,INTEL CORE I5-1135G7,16 GO,,INTEL IRIS XE,256GO,14.0,SSD,16,256,0
,"HP ELITEBOOK 840 G8 I5 11TH 8GB 256SSD 14"" ","ORDINATEUR PORTABLE
MODEL: HP ELITEBOOK 840 G8
--------Caractéristiques‐‐--------
✅Processeur: INTEL CORE I5 1135G7 2.20UP TO 4.10GHZ
✅Mémoire vive: 8 GB DDR 4 3200MHz
✅Disque Dur: 256 GB SSD
✅CARTE GRAPHIQUE : INTEL IRIS XE
✅Ecran: 14 FHD
✅Clavier: QWERTY
✅Interfaces
2 USB
1 TYP C
1 prie jack (casque, écouteurs,...),
...................PRIX 85000DA.....................
✅Système d'exploitation:
WINDOWS 11
✅Payement Baridi Mob accepté ✅
✅Fournir Avec Chargeur
✅Livraison à domicile payement à livraison
Garantie 03 MOIS avec facture de garantie
☎️ Contact :Commercial : 0562387372/0777626558/ 0778792038 / 023927587
https://deystore.dz/produit/laptop-hp-elitebook-840-g8-i5-1145g7-8gb-256-14-fhd/",85000.0,2024-11-07T10:14:08.000Z,Bab ezzouar,Intégrée,Bon état,HP,intel core i5 1135g7 2.20up to 4.10ghZ,8 GO,,intel iris xe,256GO,14.0,SSD,8,256,0
E5,Acer aspire E5,"Pc galère caba 🇺🇸  usa etat 10/10 
Acer aspire E5
CPU I5-8250U
RAM 12G
SSD M2 512
HDD 1T
Ecran 15.6
Clavier lumineux
 Carte graphique Geforce Mx150",65000.0,2024-08-29T07:24:34.000Z,,Intégrée,Etat neuf,AER,I5-8250U,14 GO,,Geforce MX 150,1T+ SSD M2 256GO,17.0,SSD,14,1,0
,SURFACE LAPTOP STUDIO I7 11370H 32GO 2TO SSD NVIDIA GEFORCE RTX3050Ti 4GO ,"MICROSOFT
SURFACE LAPTOP STUDIO 
ECRAN 14.4"" 2K LED TACTILE
CONVETIBLE 
CPU INTEL CORE I7 11370H 3•3GHZ
BOOST 4.8GHZ 8THREADS 12MO CACHE
RAM 32GO DDR4X 4267MHZ
DISQUE 2000 GO 2TO SSD NVME
WIFI/BLUETOOTH/WEB CAM
USB 3.1
GRAPHIC
INTEL IRIS XE GRAPHIC +
NVIDIA GEFORCE RTX3050TI 4 GO
GDDR6 BOOST 20GO
BANDE PASSANTE 112GO/S
ECRAN 14.4"" 2K LED
ANTIREFLET IPS
TACTILE CONVERTIBLE
CLAVIER RETRO ECLAIRE
WINDOWS 11 ORIGINALE
PRIX : 178000da

- - - - - - - - - - - - - - - - - - -
MOBILE 📱 COMMERCIAL RABAH : 
POSSIBILITE DE FACTURATION
LIVRAISON GRATUITE SUR 58 WILAYAS
GARANTIE DE 6 MOIS + SERVICE APRES VENTE
#PROTECHASSIBA THE BEST LAPTOPS
SITE WEB : 

#neverstopexploring #fyp #foryourprofil #viral #algérienne #جزائريات #pcgames #pcgamer cgamer #pc #informatique #computer #technology chnology #dzair #dz #laptopgaming #laptop #tech #dzpower🇩🇿 #شوشع_العالمية🇩🇿 #الشعب_الصيني_ماله_حل😂😂 #fypシ @大好物は高カロリー🐷୭*ﾟ #tik_tokd",178000.0,2025-08-06T14:35:45.000Z,Alger centre,,Neuf jamais utilisé,,,,,,,15.6,,0,512,0
15-DY5885WM,"LAPTOP HP 15-DY5885WM | I5 1235U | 8GB | 256 SSD | 15,6"" FHD","😊 Bienvenue 😊
🔷 Vente gros et détail
🔷 Possibilité de facturation – Avec un service professionnel !
🔷 Livraison disponible – Rapide et fiable !

Le HP 15-dy5885wm est un ordinateur portable élégant et performant, doté d’un processeur Intel Core i5-1235U, de 8 Go de RAM DDR4, d’un SSD de 256 Go et d’un écran Full HD de 15,6 pouces. Avec sa conception fine et légère en Spruce Blue, il offre une excellente portabilité et une autonomie prolongée, idéal pour les étudiants et les professionnels en déplacement.",109500.0,2025-07-29T09:13:58.000Z,Bab ezzouar,Intégrée,Neuf jamais utilisé,HP,INTEL I5 1235U,8 GO,,Intel iris xe,256GO,15.6,SSD,8,256,0
DEL LATITUDE,"DELL LATITUDE 5500_I7-8660U__8GB RAM_256GB SSD_ECRAN 15""FULL HD ","DELL LATITUDE 5500
Écran:  15 Pouce Full HD                
Processeur: INTEL CORE I7-8660U
Mémoire: 8 GB De Ram
Stockage: 256 GB SSD
CLAVIER LUMINEUX
PRIX: 63.000 DA
📱Téléphone/Whatsapp  
📍Adresse: Bab EZZOUAR Alger
🚚📦Livraison Gratuite 58 Wilaya",63000.0,2025-08-08T09:23:22.000Z,Bab ezzouar,Intégrée,Etat neuf,,I7-8660U,8 GO,,,256GO,15.0,SSD,8,256,0
16T-WF100 C,"LAPTOP HP OMEN I7 - 14700HX - 16GB - 512 SSD - GEFORCE RTX 4050 6GB - ECRAN 16.1"" FHD -WIN 11 ORG .",GARANTIE 12 MOIS,295000.0,2025-07-30T09:25:55.000Z,Mohammadia,Intégrée,Neuf jamais utilisé,INTEL,I7 14700HX,16 GO,,RTX 4050 6GB,512GO,16.0,SSD,16,512,0
HP I3,PC PORTABLE HP,"PC PORTABLE HP 17"" POUCE I 4éme Génération, Sans batterie, avec chargeur ",20000.0,2024-10-27T11:38:27.000Z,Bir el djir,,Bon état,,,4 GO,,,,15.6,,4,0,0
5430,LAPTOP DELL LATITUDE 5430,"LAPTOP DELL LATITUDE 5430
I5-12EME GEN 16GB SSD /256GB NVME M.2 / WIN 11 PRO 
CLAVIER AZERTY
SOUS EMBALLAGE ",149000.0,2025-08-11T09:46:44.000Z,El achour,Intégrée,Neuf jamais utilisé,DELL LATITUDE 5430,I5-12EME GEN 16GB/256GB NVME M.2 / WIN 11 PRO,16 GO,,,256GO,14.0,SSD,16,256,0
P14s,Lenovo Thinkpad P14s Ryzen 7 Pro 4750,"Lenovo Thinkpad P14s (station travail mobile)
Processeur Ryzen 7 Pro 4750 16CPU (équivalent i7 10th generation)
✅RAM 16GB DDR4
✅DISQUE DUR 512SSD Nvme
✅ CARTE GRAPHIQUE 2GB
✅Écran 14 Pouce Full HD IPS
✅Clavier Lumineux
✅Batterie Excellente
🔰Port Type C USB HDMI RJ47
✅Super Slim

✅Garantie 1 mois 
🚚Livraison Gratuite 58 Wilaya

📲 
📲 
",87000.0,2025-07-08T09:51:29.000Z,Bab ezzouar,Intégrée,Etat neuf,LENOVO,Ryzen 7 Pro 4750,16 GO,,,512GO,14.0,SSD,16,512,0
,"MacBook Air 2020 13""","MacBook Air 2020 13"" une un trait d'afficheur , l'écran fonctionne correctement , clavier 2 bouton ne fonctionne pas , barre de logo MacBook une petite fissure ",50000.0,2024-09-01T14:47:09.000Z,,Intégrée,Etat moyen,APPLE,I3,8 GO,,,256GO,13.0,SSD,8,256,0
GPD GAME PAD DIGITAL MICRO PC,GPD GAME PAD DIGITAL MICRO PC,"🔴🎮🎮GPD GAME PAD DIGITAL MICROPC 🎮🎮🚙🚙👷🔴

🇪🇺 PRODUITS EUROPÉENS 🇪🇺

⭕✋💡💡 IDÉAL POUR LES GAMERS ET LES PERSONNES TRAVAIL BQ 
A L'EXTÉRIEUR 🪶🪶💡💡

▶️CPU Intel N4120

▶️RAM 8G DDR4 

▶️ STOCKAGE 256G SSD NVME 4.0 EXTENSIBLE JUSQU'À 1TB 

▶️ ÉCRAN 6 "" HD WCG GORILLA GLASS 4

▶️WIN 11 OFFICIEL LICENCE NUMÉRIQUE 
 

📌ETAT NEUF SOUS EMBALLAGE 

🎁 SACOUCHE OU SOURIS BLUETOOTH OFFERT

💰💰 PRIX 65000 DA💰💰

🗨️ GARANTIE 3 MOIS AVEC CERTIFICAT DE GARANTIE 

☎️🤳 Téléphone :

 / 

💡 (disponible de 9h à 19h ou en mp sur whatsapp )

📧

🚚 LIVRAISON 58 WILAYA ET PAYEMENT A LA LIVRAISON ✋✋(A DOMICILE OU STOP DESK)

⭕POSSIBILITÉ DE FACTURATION 

💶MODALITÉ DE PAYEMENT 

💳 CARTE  DAHABIA ,CIB,BARIDIMOB

💳 VISA :PAYSERA,WISE ,REDOTPAY,PYYPL,BINANCE  

📍MAPS: PC PRO DZ

⏩ 

🌐SITE OFFICIEL : ",69000.0,2025-08-09T23:07:45.000Z,Bab ezzouar,,Neuf jamais utilisé,GPD GAME PAD DIGITAL,Intel N4120,8 GO,,,256GO,15.6,SSD,8,256,0
,Hp pavillion 15 gaming pc,"Produit français original🇨🇵🇨🇵🇨🇵 caba
J'accepte l'echange haja tactile puissante surface book wla xps
Hp pavillion gaming 15
15.6"" full HD
CPU : Ryzen 5 4600H 3ghz
RAM :16 GO DDR 4 3200 HZ
ROM :512 GO ssd m2
GPU : Amd radeon 8gb
           Nvidia gtx 1650 4gb
Clavier lumineux
Batterie excellente.
Très puissant, pour gaming et design, montage vidéo etc

Fiche technique :
https://admistore.fr/ordinateur-portable/611805-hp-pavilion-gaming-15-ec1016nf-amd-ryzen-5-4600h-ordinateur-portable-396-cm-156-full-hd-16-go-ddr4-sdram-512-go-ssd-nvidia-2g0z6eaabf-hp-0195161410734.html",120000.0,2024-11-16T15:21:12.000Z,Ain mlila,Integrée + Dédiée,Etat neuf,HP,Ryzen 5 4600H jusqu'à 3ghz,16 GO,Nvidia gtx 1650 4 gb,Amd radeon 8gb,512GO,15.0,SSD,16,512,0
7450,DELL  LATITUDE 7450  ULTRA-5 135U/32G/512G SSD/14'' FHD+/WIN11 ETAT 9/10,"💻Dell Latitude 7450 (P174G002)💻

🔹 Processeur (CPU) : Intel® Core™ Ultra 5 135U (12 cœurs, 2.10Ghz jusqu’à 4,9 GHz en mode Turbo, vPro®)
🔹 Mémoire vive (RAM) : 32 Go LPDDR5x 6400 MHz (soudée, non extensible)
🔹 Stockage : SSD M.2 PCIe NVMe de 512 Go
🔹 Carte graphique (GPU) : Intel® Graphics intégrée
🔹 Écran : Écran FHD+ de 14"" (1920 x 1200), IPS, antireflet, 250 nits, bord-à-bord​ 60Hz
🔹 Connectivité sans fil (WLAN) : Wi-Fi 6E (802.11ax)
🔹 Bluetooth® : Version 5.3
🔹 Lecteur d'empreintes digitales : Oui, intégré (en option selon la configuration)
🔹 Clavier : Rétroéclairé, disposition QWERTY (varie selon la région)​

🔹 Ports d'E/S :
2 x Thunderbolt™ 4 (USB Type-C, Power Delivery, DisplayPort)
2 x USB 3.2 Gen 1 Type-A
1 x HDMI 2.1
1 x port audio combo casque/microphone
🔹 Dimensions : 31,3 x 22,0 x 1,8 cm (L x P x H)
🔹 Poids : À partir de 1,33 kg ",135000.0,2025-07-25T11:08:04.000Z,Kouba,Intégrée,Etat neuf,DELL,Intel® Core™ Ultra 5 135U,32 GO,,Intel® Graphics intégrée,512GO,14.0,SSD,32,512,0
,Hp elitebook 645 G11 ,"HP elitebook 645 G11 


 ■ Processeur AMD ryzen 5 pro 7535U 6 cœur 12threads 2.90GHz 

 ■ 16Go Ram 4800MHz 

 ■ 256Go SSD 

 ■ AMD radeon graphics 

 ■ clavier AZERTY 

 ■ empreinte digital 

 ■ écran 14"" FHD 

 ■ chargeur HP original 

 ■ prix 145000DA 🇩🇿🔥

 ■ garentie 3 mois 

 ■ numéro whatssap 

 ■ livraison disponible",145000.0,2025-07-16T14:36:12.000Z,Kouba,Intégrée,Bon état,AMD,Amd ryzen 5 pro 7535U,16 GO,,Amd radeon graphics,256GO,14.0,SSD,16,256,0
,La gamme pro Dell latitude 5490   i5 8350U. 8th génération  (boost 3.6GHZ ) FHD,"La gamme professionnelle 🌟 Dell latitude 5490 🔥

✅️Processeur : i5 8350U. 8th génération (1.7GHz Up jusqu'à 3.6GHz) 🔥

✅️Ram : 8GB ddr4 (2400mhz)⚡️
+ emplacement vide

✅️Rom: 256ssd NVMe 🔥 

✅️Gpu: intel UHD graphics 620  4GB

✅️Écran : 14 pouces FHD 180° (1920×1080p)

✅️ empreinte digital 

✅️Batterie :excellente (+5heures )

✅️État :10/10

✅️Chargeur original dell

✅️système d'exploitation : Windows10pro (original)

✅️ 3 port USB type A , 1 type c , 1HDMI , rj45, port casque , lecteur SD card, lecteur sim, port VGA , DisplayPort ,port chargeur , empreinte digitale 

️La livraison disponible 58 wilaya    avec la vérification avant de payer 🚛✅️

Et garantie 3 moi 💯",45000.0,2025-08-04T10:50:29.000Z,El eulma,Intégrée,Etat neuf,DELL,i5 8350U  8th génération (3.6GHz Turbo max),8 GO,,Intel UHD graphics 620,256GO,14.0,SSD,8,256,0
,البليدة - بوڨرة,"Msi gamer.  17 pouce.
  
Processeur i7 5 eme H
16 giga ram.  255 ssd +500  hdd
Gtx 970M. 3Giga   ddr5
Batterie mliha 2h +CHARGEUR
Prix : 60 000.00",60000.0,2025-04-18T16:05:15.000Z,,Integrée + Dédiée,Bon état,MSI GAMER,512GO,16 GO,,Gtx 970M,,17.0,2 disques SSD + HDD,16,256,1024
ASUS ROG Zephyrus G15,ASUS ROG Zephyrus G15 ,"🎯 À VENDRE – PC Portable Gamer Haut de Gamme : ASUS ROG Zephyrus G15 🎮🚀
💰 Prix : 250 000 DA (légèrement négociable)

🖥️ CARACTÉRISTIQUES TECHNIQUES :
• 🔥 Processeur : AMD Ryzen 9 5900HS (8 cœurs – 16 threads, ultra puissant)
• 🎮 Carte Graphique : NVIDIA GeForce RTX 3070 – 8 Go GDDR6 (top performance pour jeux & rendu 3D)
• 💾 RAM : 16 Go DDR4
• ⚡ Stockage : SSD 1 To (ultra rapide, énorme capacité)
• 📺 Écran : 15,6” QHD 165Hz (fluide et ultra net)
• 🔋 Autonomie excellente, design fin et léger
• 💼 Parfait pour Gaming, Création, Architecture, Montage, Dev, etc.

📦 État : Comme neuf – toujours bien entretenu, jamais tombé, 100% fonctionnel
📸 Photos réelles sur demande

✅ Machine de très haut niveau — pour joueurs sérieux ou pros qui veulent de la puissance sans compromis.

📲 Contactez-moi en MP pour plus d’infos ou pour un test.
",250000.0,2025-07-31T16:20:29.000Z,El eulma,Integrée + Dédiée,Bon état,ASUS,"AMD Ryzen 9 5900HS (8 cœurs – 16 threads, ultra puissant)",16 GO,Nvidia RTX 3070,Amd,1TGO,15.0,SSD,16,1,0
