reference,title,description,price_preview,created_at,city,spec_Carte graphique,spec_Etat,spec_Marque,spec_Processeur,spec_RAM,spec_Reférence carte graphique dédiée,spec_Reférence carte graphique integrée,spec_Taille du disque,spec_Taille écran,spec_Type disque
MacBook Air ,MacBook Air 2022 M2 /8 Gb / 256Gb,"💻 MacBook air 2022 13"" retina  💻
Puce m2/ 8gb ram / 256 ssd 
💵 Prix : 163000💵
✅Puce : m2/ 8 cores CPU, 8 cores GP2
✅Ram: 8GB, LPDDR4
✅Stockage: 256GB SSD
✅Écran : 13"" Retina 
✅Interface:2 thunderbolt type C+ Magsafe3
✅Webcam 1080 HD / Wi-Fi / Bluetooth 
✅ Mac OS Ventura  
✅Avec Chargeur Original  
✅Avec Garantie 
للاستعلام أو الطلب يرجى الاتصال او زيارة المحل
☎️ Contact : 📞 0770213961 📞 
🚕 Livraison disponible 
📄 Possibilité de facturation
🏢 (VIVRE LAPTOP) , Route de Biskra près de la mosque ben badis, Batna
Follow us on Facebook: https://web.facebook.com/vivrelaptop/
Follow us on Instagram : https://www.instagram.com/vivrelaptop/?hl=fr",163000,2024-11-26T19:22:21.000Z,Batna,Intégrée,Etat neuf,Apple,M1,8 GO,Chip m2,Chip m2,256GO,"13"" ",SSD
Ammple Macbook pro m1 pro,Apple Macbook m1 pro,"Apple macbook m1 pro
16 ram
512 ssd
Cycle 247
Chargeur Original

*** fih quelque touches dakhlin mais ymchiw***

Pas d’echange, vente berk
 ",200000,2025-07-24T16:05:39.000Z,Blida,Intégrée,Bon état,,M1 pro,16 GO,,M1 pro,512GO,"14"" ",SSD
LENOVO THINKBOOK 14,"LENOVO THINKBOOK 14 I7 13th 16 GB 1 TB SSD FHD 14""","Disponible chez TRETEC INFORMATIQUE Magasin de service , vente et dépannage de matériel informatique -BAB EZZOUAR-
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**
------------------------------------------
• FOURNIR AVEC CHARGEUR ORIGINAL
• LIVRAISON A DOMICILE
• GARANTIE 02 MOIS + SERVICE APRES VENTE
------------------------------------
• PRODUIT : ORDINATEUR PORTABLE
• MARQUE : LENOVO
• MODELE : THINKBOOK 14 
-------------------------------------
CARACTERISTIQUE :
• PROCESSEUR : Intel® Core™ i7-13700H ""13th Génération"" 12M Cache, up to 4.40 GHz, with IPU
• MEMOIRE : 16 GB
• STOCKAGE : 1TB SSD
• ECRAN : 14"" 2K (2048 x 1080)
• CARTE GRAPHIQUE INTIGREE : Intel® UHD Graphics
• CLAVIER LUMINEUX
• LECTEUR EMPREINTE
• INTERFACES : 2 X USB 3.0 / 2 X USB TYPE C / 1 X HDMI
• WIFI + BLEUTHOOT + WEB CAM
• SYSTEM D’EXPLOITATION : WINDOWS Original


PRIX : 125 000,00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
-----------------------------------
•Contact : -
• Email :
• Page Facebook :
• SITE Web :
•
",125000,2025-07-22T08:06:48.000Z,Bab ezzouar,Intégrée,Bon état,LENOVO,I7 13700H,16 GO,,INTEL UHD GRAPHICS,1TBGO,"14"" ",SSD
LENOVO THINKPAD E14,"LENOVO THINKPAD E14 I5 11th 16 GB 256 GB SSD FHD 14""","Disponible chez TRETEC INFORMATIQUE Magasin de service , vente et dépannage de matériel informatique -BAB EZZOUAR-
ORDINATEUR PORTABLE Importé d’Europe ""Caba"" Très Haute Qualité et Bonne Prix Avec **GARANTIE**
------------------------------------------
• FOURNIR AVEC CHARGEUR ORIGINAL
• LIVRAISON A DOMICILE
• GARANTIE 02 MOIS + SERVICE APRES VENTE
------------------------------------
• PRODUIT : ORDINATEUR PORTABLE
• MARQUE : LENOVO
• MODELE : THINKPAD E14
-------------------------------------
CARACTERISTIQUE :
• PROCESSEUR : Intel® Core™ i5-1135G7 ""11th Génération"" 12M Cache, up to 4.60 GHz
• MEMOIRE : 16 GB
• STOCKAGE : 256GB SSD
• ECRAN : 14"" FULL HD (1920 X 1080)
• CARTE GRAPHIQUE INTIGREE : Intel® Iris® Xe Graphique
• INTERFACES : 2 X USB 3.0 / 1 X USB TYPE C / 1 X HDMI
• WIFI + BLEUTHOOT + WEB CAM
• SYSTEM D’EXPLOITATION : WINDOWS ORIGINAL


PRIX : 74 000,00 DZD


*** Note : POSSIBILITÉ DE FACTURATION POUR LES ENTREPRISES ***
---------------------------------
•Contact : -
• Email :
• Page Facebook :
• SITE Web :",74000,2025-06-21T09:19:18.000Z,Bab ezzouar,Intégrée,Etat neuf,LENOVO,INTEL CORE I5-1135G7,16 GO,,INTEL IRIS XE,256GO,"14"" ",SSD
,"HP ELITEBOOK 840 G8 I5 11TH 8GB 256SSD 14"" ","ORDINATEUR PORTABLE
MODEL: HP ELITEBOOK 840 G8
--------Caractéristiques‐‐--------
✅Processeur: INTEL CORE I5 1135G7 2.20UP TO 4.10GHZ
✅Mémoire vive: 8 GB DDR 4 3200MHz
✅Disque Dur: 256 GB SSD
✅CARTE GRAPHIQUE : INTEL IRIS XE
✅Ecran: 14 FHD
✅Clavier: QWERTY
✅Interfaces
2 USB
1 TYP C
1 prie jack (casque, écouteurs,...),
...................PRIX 85000DA.....................
✅Système d'exploitation:
WINDOWS 11
✅Payement Baridi Mob accepté ✅
✅Fournir Avec Chargeur
✅Livraison à domicile payement à livraison
Garantie 03 MOIS avec facture de garantie
☎️ Contact :Commercial : 0562387372/0777626558/ 0778792038 / 023927587
https://deystore.dz/produit/laptop-hp-elitebook-840-g8-i5-1145g7-8gb-256-14-fhd/",85000,2024-11-07T10:14:08.000Z,Bab ezzouar,Intégrée,Bon état,HP,intel core i5 1135g7 2.20up to 4.10ghZ,8 GO,,intel iris xe,256GO,"14"" ",SSD
E5,Acer aspire E5,"Pc galère caba 🇺🇸  usa etat 10/10 
Acer aspire E5
CPU I5-8250U
RAM 12G
SSD M2 512
HDD 1T
Ecran 15.6
Clavier lumineux
 Carte graphique Geforce Mx150",65000,2024-08-29T07:24:34.000Z,,Intégrée,Etat neuf,Aer,I5-8250U,14 GO,,Geforce MX 150,1T+ SSD M2 256GO,"17"" ",SSD
,SURFACE LAPTOP STUDIO I7 11370H 32GO 2TO SSD NVIDIA GEFORCE RTX3050Ti 4GO ,"MICROSOFT
SURFACE LAPTOP STUDIO 
ECRAN 14.4"" 2K LED TACTILE
CONVETIBLE 
CPU INTEL CORE I7 11370H 3•3GHZ
BOOST 4.8GHZ 8THREADS 12MO CACHE
RAM 32GO DDR4X 4267MHZ
DISQUE 2000 GO 2TO SSD NVME
WIFI/BLUETOOTH/WEB CAM
USB 3.1
GRAPHIC
INTEL IRIS XE GRAPHIC +
NVIDIA GEFORCE RTX3050TI 4 GO
GDDR6 BOOST 20GO
BANDE PASSANTE 112GO/S
ECRAN 14.4"" 2K LED
ANTIREFLET IPS
TACTILE CONVERTIBLE
CLAVIER RETRO ECLAIRE
WINDOWS 11 ORIGINALE
PRIX : 178000da

- - - - - - - - - - - - - - - - - - -
MOBILE 📱 COMMERCIAL RABAH : 
POSSIBILITE DE FACTURATION
LIVRAISON GRATUITE SUR 58 WILAYAS
GARANTIE DE 6 MOIS + SERVICE APRES VENTE
#PROTECHASSIBA THE BEST LAPTOPS
SITE WEB : 

#neverstopexploring #fyp #foryourprofil #viral #algérienne #جزائريات #pcgames #pcgamer cgamer #pc #informatique #computer #technology chnology #dzair #dz #laptopgaming #laptop #tech #dzpower🇩🇿 #شوشع_العالمية🇩🇿 #الشعب_الصيني_ماله_حل😂😂 #fypシ @大好物は高カロリー🐷୭*ﾟ #tik_tokd",178000,2025-08-06T14:35:45.000Z,Alger centre,,Neuf jamais utilisé,,,,,,,,
15-DY5885WM,"LAPTOP HP 15-DY5885WM | I5 1235U | 8GB | 256 SSD | 15,6"" FHD","😊 Bienvenue 😊
🔷 Vente gros et détail
🔷 Possibilité de facturation – Avec un service professionnel !
🔷 Livraison disponible – Rapide et fiable !

Le HP 15-dy5885wm est un ordinateur portable élégant et performant, doté d’un processeur Intel Core i5-1235U, de 8 Go de RAM DDR4, d’un SSD de 256 Go et d’un écran Full HD de 15,6 pouces. Avec sa conception fine et légère en Spruce Blue, il offre une excellente portabilité et une autonomie prolongée, idéal pour les étudiants et les professionnels en déplacement.",109500,2025-07-29T09:13:58.000Z,Bab ezzouar,Intégrée,Neuf jamais utilisé,HP,INTEL I5 1235U,8 GO,,Intel iris xe,256GO,"15.6"" ",SSD
DEL LATITUDE,"DELL LATITUDE 5500_I7-8660U__8GB RAM_256GB SSD_ECRAN 15""FULL HD ","DELL LATITUDE 5500
Écran:  15 Pouce Full HD                
Processeur: INTEL CORE I7-8660U
Mémoire: 8 GB De Ram
Stockage: 256 GB SSD
CLAVIER LUMINEUX
PRIX: 63.000 DA
📱Téléphone/Whatsapp  
📍Adresse: Bab EZZOUAR Alger
🚚📦Livraison Gratuite 58 Wilaya",63000,2025-08-08T09:23:22.000Z,Bab ezzouar,Intégrée,Etat neuf,,I7-8660U,8 GO,,,256GO,"15"" ",SSD
,Asus vivobook 14,"Pc n9y machi mftoh habet kaba 
Bih b charjour ta3o 
",6000000,2025-07-30T12:33:14.000Z,Bouzareah,,Bon état,Asus vivobook 14,AMD Ryzen 5 4500U   i5,8 GO,,,,,
16T-WF100 C,"LAPTOP HP OMEN I7 - 14700HX - 16GB - 512 SSD - GEFORCE RTX 4050 6GB - ECRAN 16.1"" FHD -WIN 11 ORG .",GARANTIE 12 MOIS,295000,2025-07-30T09:25:55.000Z,Mohammadia,Intégrée,Neuf jamais utilisé,INTEL,I7 14700HX,16 GO,,RTX 4050 6GB,512GO,"16"" ",SSD
HP I3,PC PORTABLE HP,"PC PORTABLE HP 17"" POUCE I 4éme Génération, Sans batterie, avec chargeur ",20000,2024-10-27T11:38:27.000Z,Bir el djir,,Bon état,,,4 GO,,,,,
5430,LAPTOP DELL LATITUDE 5430,"LAPTOP DELL LATITUDE 5430
I5-12EME GEN 16GB SSD /256GB NVME M.2 / WIN 11 PRO 
CLAVIER AZERTY
SOUS EMBALLAGE ",149000,2025-08-11T09:46:44.000Z,El achour,Intégrée,Neuf jamais utilisé,DELL LATITUDE 5430,I5-12EME GEN 16GB/256GB NVME M.2 / WIN 11 PRO,16 GO,,,256GO,"14"" ",SSD
P14s,Lenovo Thinkpad P14s Ryzen 7 Pro 4750,"Lenovo Thinkpad P14s (station travail mobile)
Processeur Ryzen 7 Pro 4750 16CPU (équivalent i7 10th generation)
✅RAM 16GB DDR4
✅DISQUE DUR 512SSD Nvme
✅ CARTE GRAPHIQUE 2GB
✅Écran 14 Pouce Full HD IPS
✅Clavier Lumineux
✅Batterie Excellente
🔰Port Type C USB HDMI RJ47
✅Super Slim

✅Garantie 1 mois 
🚚Livraison Gratuite 58 Wilaya

📲 
📲 
",87000,2025-07-08T09:51:29.000Z,Bab ezzouar,Intégrée,Etat neuf,Lenovo,Ryzen 7 Pro 4750,16 GO,,,512GO,"14"" ",SSD
,"MacBook Air 2020 13""","MacBook Air 2020 13"" une un trait d'afficheur , l'écran fonctionne correctement , clavier 2 bouton ne fonctionne pas , barre de logo MacBook une petite fissure ",50000,2024-09-01T14:47:09.000Z,,Intégrée,Etat moyen,appel,I3,8 GO,,,256GO,"13"" ",SSD
14.12,125شارع زيار عبد القادر,,30,2020-12-03T19:50:43.000Z,Bologhine,,Neuf jamais utilisé,Dtech,Intel Atom x5-E8000 @ 1.04GHz,4 GO,,,,"14"" ",HDD
GPD GAME PAD DIGITAL MICRO PC,GPD GAME PAD DIGITAL MICRO PC,"🔴🎮🎮GPD GAME PAD DIGITAL MICROPC 🎮🎮🚙🚙👷🔴

🇪🇺 PRODUITS EUROPÉENS 🇪🇺

⭕✋💡💡 IDÉAL POUR LES GAMERS ET LES PERSONNES TRAVAIL BQ 
A L'EXTÉRIEUR 🪶🪶💡💡

▶️CPU Intel N4120

▶️RAM 8G DDR4 

▶️ STOCKAGE 256G SSD NVME 4.0 EXTENSIBLE JUSQU'À 1TB 

▶️ ÉCRAN 6 "" HD WCG GORILLA GLASS 4

▶️WIN 11 OFFICIEL LICENCE NUMÉRIQUE 
 

📌ETAT NEUF SOUS EMBALLAGE 

🎁 SACOUCHE OU SOURIS BLUETOOTH OFFERT

💰💰 PRIX 65000 DA💰💰

🗨️ GARANTIE 3 MOIS AVEC CERTIFICAT DE GARANTIE 

☎️🤳 Téléphone :

 / 

💡 (disponible de 9h à 19h ou en mp sur whatsapp )

📧

🚚 LIVRAISON 58 WILAYA ET PAYEMENT A LA LIVRAISON ✋✋(A DOMICILE OU STOP DESK)

⭕POSSIBILITÉ DE FACTURATION 

💶MODALITÉ DE PAYEMENT 

💳 CARTE  DAHABIA ,CIB,BARIDIMOB

💳 VISA :PAYSERA,WISE ,REDOTPAY,PYYPL,BINANCE  

📍MAPS: PC PRO DZ

⏩ 

🌐SITE OFFICIEL : ",69000,2025-08-09T23:07:45.000Z,Bab ezzouar,,Neuf jamais utilisé,GPD GAME PAD DIGITAL,Intel N4120,8 GO,,,256GO,"6.0"" ",SSD
,Hp pavillion 15 gaming pc,"Produit français original🇨🇵🇨🇵🇨🇵 caba
J'accepte l'echange haja tactile puissante surface book wla xps
Hp pavillion gaming 15
15.6"" full HD
CPU : Ryzen 5 4600H 3ghz
RAM :16 GO DDR 4 3200 HZ
ROM :512 GO ssd m2
GPU : Amd radeon 8gb
           Nvidia gtx 1650 4gb
Clavier lumineux
Batterie excellente.
Très puissant, pour gaming et design, montage vidéo etc

Fiche technique :
https://admistore.fr/ordinateur-portable/611805-hp-pavilion-gaming-15-ec1016nf-amd-ryzen-5-4600h-ordinateur-portable-396-cm-156-full-hd-16-go-ddr4-sdram-512-go-ssd-nvidia-2g0z6eaabf-hp-0195161410734.html",120000,2024-11-16T15:21:12.000Z,Ain mlila,Integrée + Dédiée,Etat neuf,HP,Ryzen 5 4600H jusqu'à 3ghz,16 GO,Nvidia gtx 1650 4 gb,Amd radeon 8gb,512GO,"15"" ",SSD
7450,DELL  LATITUDE 7450  ULTRA-5 135U/32G/512G SSD/14'' FHD+/WIN11 ETAT 9/10,"💻Dell Latitude 7450 (P174G002)💻

🔹 Processeur (CPU) : Intel® Core™ Ultra 5 135U (12 cœurs, 2.10Ghz jusqu’à 4,9 GHz en mode Turbo, vPro®)
🔹 Mémoire vive (RAM) : 32 Go LPDDR5x 6400 MHz (soudée, non extensible)
🔹 Stockage : SSD M.2 PCIe NVMe de 512 Go
🔹 Carte graphique (GPU) : Intel® Graphics intégrée
🔹 Écran : Écran FHD+ de 14"" (1920 x 1200), IPS, antireflet, 250 nits, bord-à-bord​ 60Hz
🔹 Connectivité sans fil (WLAN) : Wi-Fi 6E (802.11ax)
🔹 Bluetooth® : Version 5.3
🔹 Lecteur d'empreintes digitales : Oui, intégré (en option selon la configuration)
🔹 Clavier : Rétroéclairé, disposition QWERTY (varie selon la région)​

🔹 Ports d'E/S :
2 x Thunderbolt™ 4 (USB Type-C, Power Delivery, DisplayPort)
2 x USB 3.2 Gen 1 Type-A
1 x HDMI 2.1
1 x port audio combo casque/microphone
🔹 Dimensions : 31,3 x 22,0 x 1,8 cm (L x P x H)
🔹 Poids : À partir de 1,33 kg ",135000,2025-07-25T11:08:04.000Z,Kouba,Intégrée,Etat neuf,DELL,Intel® Core™ Ultra 5 135U,32 GO,,Intel® Graphics intégrée,512GO,"14"" ",SSD
